frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height,box_area
13,4,person,0.8629,649.45,330.31,790.59,661.52,720.02,495.91,141.13,331.21,46745.1
13,5,person,0.8601,745.1,1052.16,881.21,1400.16,813.16,1226.16,136.1,348.0,47363.15
13,6,person,0.8558,0.71,894.82,120.22,1286.1,60.46,1090.46,119.5,391.27,46757.84
13,7,person,0.8535,167.47,263.12,281.93,553.33,224.7,408.23,114.46,290.21,33217.21
13,8,person,0.8566,849.95,971.15,1011.51,1312.69,930.73,1141.92,161.56,341.54,55179.78
13,9,person,0.7981,582.17,107.88,697.17,375.0,639.67,241.44,115.0,267.12,30718.26
13,10,person,0.7964,220.72,18.92,317.08,264.57,268.9,141.75,96.36,245.65,23669.88
13,11,person,0.8826,520.8,1558.63,692.48,1920.0,606.64,1739.31,171.68,361.37,62040.59
13,12,person,0.8341,760.32,343.15,850.26,594.93,805.29,469.04,89.94,251.78,22644.2
13,13,person,0.7604,32.74,0.7,108.84,239.55,70.79,120.12,76.11,238.85,18178.85
13,16,person,0.6271,1.77,588.44,63.61,913.14,32.69,750.79,61.84,324.7,20080.04
14,1,person,0.8896,116.29,900.05,264.26,1268.71,190.28,1084.38,147.98,368.65,54551.7
14,2,person,0.8986,511.6,507.77,661.73,839.62,586.66,673.69,150.13,331.85,49819.33
14,3,person,0.8512,686.51,1501.54,878.62,1918.12,782.56,1709.83,192.12,416.58,80032.67
14,4,person,0.8532,649.81,335.9,792.29,672.11,721.05,504.0,142.48,336.21,47901.41
14,5,person,0.8783,748.23,1057.28,883.0,1400.84,815.61,1229.06,134.76,343.56,46299.09
14,6,person,0.8768,0.77,903.61,119.51,1299.9,60.14,1101.76,118.74,396.29,47057.19
14,7,person,0.8568,167.86,267.55,282.91,558.89,225.38,413.22,115.05,291.34,33518.5
14,8,person,0.8623,855.02,975.81,1016.43,1314.57,935.72,1145.19,161.41,338.76,54678.2
14,9,person,0.8156,581.9,109.57,699.0,376.37,640.45,242.97,117.09,266.8,31240.41
14,10,person,0.8311,221.08,21.62,317.01,265.66,269.04,143.64,95.92,244.03,23408.8
14,11,person,0.8627,526.2,1566.65,694.54,1920.0,610.37,1743.33,168.34,353.35,59483.71
14,12,person,0.8115,760.63,344.98,852.16,596.18,806.4,470.58,91.53,251.21,22992.87
14,13,person,0.7952,32.18,0.58,108.75,240.75,70.46,120.67,76.57,240.17,18389.77
14,16,person,0.7575,1.84,594.36,71.07,927.51,36.45,760.93,69.23,333.16,23062.93
15,1,person,0.8925,116.94,908.52,265.9,1280.45,191.42,1094.48,148.96,371.93,55402.85
15,2,person,0.9013,515.75,514.33,665.87,845.81,590.81,680.07,150.12,331.48,49760.44
15,3,person,0.8813,691.18,1508.04,882.19,1920.0,786.69,1714.02,191.01,411.96,78690.23
15,4,person,0.877,651.88,341.54,792.93,680.43,722.41,510.99,141.05,338.89,47801.19
15,5,person,0.873,751.33,1062.65,885.21,1402.5,818.27,1232.57,133.88,339.85,45498.11
15,6,person,0.8699,0.63,911.93,118.29,1306.33,59.46,1109.13,117.66,394.4,46404.58
15,7,person,0.851,168.32,271.6,283.28,568.02,225.8,419.81,114.96,296.41,34076.57
15,8,person,0.8682,858.16,980.51,1019.91,1315.36,939.04,1147.93,161.74,334.85,54160.96
15,9,person,0.8177,583.21,110.76,700.35,377.29,641.78,244.02,117.14,266.53,31220.48
15,10,person,0.8246,221.98,24.82,317.61,269.86,269.79,147.34,95.64,245.04,23435.64
15,11,person,0.86,527.36,1573.47,700.9,1920.0,614.13,1746.74,173.54,346.53,60137.66
15,12,person,0.8211,761.85,346.54,855.07,597.82,808.46,472.18,93.22,251.29,23425.41
15,13,person,0.7928,32.06,0.4,108.98,241.38,70.52,120.89,76.92,240.98,18536.16
15,16,person,0.7812,1.99,597.57,80.04,940.4,41.01,768.99,78.05,342.83,26756.59
16,1,person,0.8958,118.7,916.0,266.92,1292.47,192.81,1104.23,148.22,376.47,55801.54
16,2,person,0.9002,519.0,519.44,669.13,848.88,594.07,684.16,150.14,329.44,49461.21
16,3,person,0.8791,692.45,1514.11,887.26,1919.45,789.86,1716.78,194.81,405.34,78966.4
16,4,person,0.8866,654.35,347.25,795.19,684.93,724.77,516.09,140.83,337.68,47556.93
16,5,person,0.865,754.0,1068.56,890.01,1402.73,822.01,1235.65,136.0,334.17,45448.4
16,6,person,0.8869,0.54,918.98,116.9,1309.61,58.72,1114.29,116.36,390.63,45452.28
16,7,person,0.8646,168.61,277.49,283.73,573.86,226.17,425.68,115.13,296.37,34120.05
16,8,person,0.8612,863.28,985.95,1020.15,1317.28,941.72,1151.61,156.87,331.33,51977.81
16,9,person,0.8192,584.46,112.96,702.63,378.26,643.54,245.61,118.18,265.3,31352.33
16,10,person,0.8289,222.1,27.65,318.01,278.66,270.05,153.15,95.91,251.0,24073.99
16,11,person,0.8801,533.6,1581.48,704.14,1920.0,618.87,1750.74,170.53,338.52,57728.82
16,12,person,0.8385,762.94,350.77,857.86,599.64,810.4,475.21,94.91,248.87,23621.02
16,13,person,0.8144,31.86,0.21,109.24,241.95,70.55,121.08,77.38,241.74,18706.35
16,16,person,0.802,1.65,601.66,89.84,945.07,45.75,773.37,88.18,343.41,30283.08
17,1,person,0.9032,119.36,922.23,268.72,1298.09,194.04,1110.16,149.36,375.86,56138.55
17,2,person,0.9007,522.41,523.05,672.02,850.68,597.21,686.86,149.6,327.62,49013.41
17,3,person,0.8751,695.79,1522.34,889.82,1919.9,792.8,1721.12,194.04,397.55,77139.5
17,4,person,0.891,657.04,350.93,796.54,687.62,726.79,519.27,139.5,336.69,46967.09
17,5,person,0.8746,757.43,1074.54,894.34,1403.27,825.89,1238.9,136.91,328.74,45008.57
17,6,person,0.8819,0.43,923.59,114.29,1311.13,57.36,1117.36,113.87,387.54,44127.2
17,7,person,0.8727,168.92,283.0,283.95,579.35,226.44,431.17,115.03,296.34,34088.32
17,8,person,0.8617,868.52,993.39,1021.94,1323.99,945.23,1158.69,153.43,330.6,50722.29
17,9,person,0.8406,584.74,115.5,703.38,379.03,644.06,247.26,118.64,263.53,31264.76
17,10,person,0.8416,221.59,31.47,318.26,286.31,269.92,158.89,96.68,254.84,24637.1
17,11,person,0.8134,542.32,1589.03,709.5,1920.0,625.91,1754.52,167.18,330.97,55331.84
17,12,person,0.8517,763.17,353.87,859.31,599.84,811.24,476.85,96.14,245.97,23649.11
17,13,person,0.8283,31.44,0.18,109.75,242.84,70.6,121.51,78.31,242.66,19003.29
17,16,person,0.7962,1.39,609.33,94.31,951.73,47.85,780.53,92.91,342.4,31812.92
